Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
271;2023;1;1;12;17;1;1;5;3,525;35;7.05;18;2;19;4;3;2;0;;;
272;2023;1;1;12;17;1;2;25;15,000;150;6.00;74;7;80;19;11;8;1;;;
273;2023;1;1;12;17;1;5;98;55,762;558;5.69;278;25;303;78;44;28;6;;;
274;2023;1;1;12;17;2;1;98;16,170;162;1.65;94;43;137;13;0;5;7;;;
275;2023;1;1;12;17;2;2;100;16,500;165;1.65;96;44;140;13;0;5;7;;;
276;2023;1;1;12;21;1;1;26;18,330;183;7.05;91;8;100;23;15;9;2;;;
277;2023;1;1;12;21;1;5;6;3,414;34;5.69;17;2;19;5;3;2;0;;;
278;2023;1;1;12;21;2;1;40;6,600;66;1.65;38;18;56;5;0;2;3;;;
279;2023;1;1;12;22;1;5;172;97,868;979;5.69;488;44;532;137;78;49;10;;;
280;2023;1;1;12;22;1;6;26;12,805;128;4.93;64;6;70;18;10;6;1;;;
